Site,Date_collected,Date_processed,Site,Cobble_SID,Pool_or_Riffle,Volume_mL,Volume_Added,TIN_num,Dry_Weight_g,AFD_Weight_g,Difference, Notes,,
Elder_Below,8/6/18,8/9/18,Rock_Rose_18.4,4,riffle,28,0,9,1.1590,1.1562,0.0028,,,
Elder_Below,8/6/18,8/9/18,Rock_Rose_18.4,5,riffle,27,0,8,1.1282,1.1271,0.0011,,,
Elder_Below,8/6/18,8/9/18,Rock_Rose_18.4,6,pool,26,0,10,1.1798,1.1785,0.0013,,,
Elder_Below,8/6/18,8/9/18,Rock_Rose_18.4,10,pool,32,0,1,1.1635,1.1603,0.0032,,,
Elder_Below,8/6/18,8/9/18,Brandywine_18.3,1,riffle,30,0,6,1.1632,1.1605,0.0027,,,
Elder_Below,8/6/18,8/9/18,Brandywine_18.3,11,riffle,23,0,4,1.1472,1.1454,0.0018,,,
Elder_Below,8/6/18,8/9/18,Brandywine_18.3,12,pool,24,0,3,1.1459,1.1443,0.0016,,,
Elder_Below,8/6/18,8/9/18,Brandywine_18.3,14,pool,18,0,2,1.1339,1.1333,0.0006,,,
Elder_Below,8/6/18,8/9/18,Oak_Terrace_18.2,2,riffle,37,0,7,1.1515,1.1488,0.0027,,,
Elder_Below,8/6/18,8/9/18,Oak_Terrace_18.2,3,riffle,33,0,16,1.1929,1.1921,0.0008,,,
Elder_Below,8/6/18,8/9/18,Oak_Terrace_18.2,7,pool,32,0,11,1.1942,1.1927,0.0015,,,
Elder_Below,8/6/18,8/9/18,Oak_Terrace_18.2,9,pool,29,0,15,1.2051,1.2031,0.0020,,,
Elder_Below,8/6/18,8/9/18,TV_Pool_18.1,8,riffle,56,-19,12,1.1736,1.1728,0.0008,,,
Elder_Below,8/6/18,8/9/18,TV_Pool_18.1,13,riffle,29,0,5,1.1242,1.1225,0.0017,,,
Elder_Below,8/6/18,8/9/18,TV_Pool_18.1,15,pool,28,0,14,1.1704,1.1699,0.0005,,,
Elder_Below,8/6/18,8/9/18,TV_Pool_18.1,16,pool,42,0,13,1.1617,1.1613,0.0004,,,
